reporter_iso3,partner_iso3,product_group,year,indicator,value,unit,source_url,retrieved_utc
usa,vnm,72-83_Metals,2018,MPRT-TRD-VL,1866160.893,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,mex,72-83_Metals,2018,MPRT-TRD-VL,13125056.675,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,jpn,72-83_Metals,2018,MPRT-TRD-VL,5630098.494,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,kor,72-83_Metals,2018,MPRT-TRD-VL,5581527.548,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,deu,72-83_Metals,2018,MPRT-TRD-VL,6759000.849,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,tha,72-83_Metals,2018,MPRT-TRD-VL,1622078.667,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,idn,72-83_Metals,2018,MPRT-TRD-VL,942031.746,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,mys,72-83_Metals,2018,MPRT-TRD-VL,722424.689,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,bra,72-83_Metals,2018,MPRT-TRD-VL,4149444.668,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,can,72-83_Metals,2018,MPRT-TRD-VL,26484637.076,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,sgp,72-83_Metals,2018,MPRT-TRD-VL,116830.772,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,che,72-83_Metals,2018,MPRT-TRD-VL,581269.221,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,gbr,72-83_Metals,2018,MPRT-TRD-VL,2028015.491,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,phl,72-83_Metals,2018,MPRT-TRD-VL,196784.394,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
usa,wld,72-83_Metals,2018,MPRT-TRD-VL,145009178.344,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:25:00Z
